study_hours,attendance,previous_marks,final_score
20,55,84,53
11,83,79,63
0,74,68,47
5,41,90,49
16,85,78,66
7,91,65,57
8,94,92,67
11,81,77,53
18,88,51,49
11,71,82,58
23,71,93,63
2,56,67,49
15,41,82,48
6,71,84,60
14,91,43,52
23,44,72,48
17,80,94,66
18,65,49,44
0,41,46,31
22,96,83,68
21,50,47,41
19,73,97,70
15,76,83,64
2,65,44,33
14,76,89,60
9,85,64,49
21,79,53,51
12,88,92,63
2,88,96,62
8,40,78,44
6,70,59,46
7,81,57,54
17,88,62,60
12,70,56,42
0,71,58,42
3,77,44,41
2,79,67,49
10,61,40,38
6,59,64,40
3,62,59,47
20,69,96,69
5,44,63,43
16,89,69,55
15,46,88,58
5,49,61,46
16,40,54,37
22,94,99,73
0,60,47,42
0,78,60,43
15,53,63,43
24,92,93,74
12,48,99,57
13,89,82,58
17,77,84,67
21,64,80,62
5,76,45,43
17,85,41,48
13,45,65,42
12,45,100,59
18,96,65,61
2,57,86,50
9,99,49,51
19,66,49,48
19,82,42,49
10,80,66,56
3,79,76,54
2,90,61,51
22,75,43,42
21,46,59,47
21,79,71,62
5,43,66,42
9,57,70,46
2,50,63,39
1,59,72,48
22,75,46,48
13,92,74,63
17,61,76,50
22,93,67,61
11,98,69,59
23,80,85,62
18,93,66,58
18,90,74,57
1,45,47,38
1,64,50,42
24,92,85,73
8,89,62,53
15,89,61,53
4,50,66,39
12,59,47,45
1,65,86,52
17,81,79,56
19,84,50,54
0,78,81,54
19,86,66,57
20,98,54,61
0,46,80,46
14,78,69,53
10,93,81,67
2,90,82,65
2,68,46,34
13,65,52,42
9,67,84,54
16,69,47,46
15,62,64,49
11,71,59,45
18,50,99,57
22,65,84,55
0,55,81,50
3,83,69,52
5,78,69,50
15,89,43,47
17,77,42,42
16,75,62,56
14,94,100,72
22,56,67,53
9,79,51,48
22,87,60,56
1,63,84,50
4,82,61,54
11,89,80,63
20,60,97,64
8,98,59,52
7,100,55,49
2,48,54,40
11,42,82,52
10,99,52,52
14,87,63,54
7,40,40,33
5,63,45,34
20,54,79,49
23,92,80,66
21,94,84,72
16,64,84,57
23,43,75,50
8,47,57,44
15,73,77,57
2,97,62,54
20,94,41,50
22,68,58,55
4,45,54,38
21,67,59,54
13,57,73,50
9,52,81,46
15,85,69,60
5,87,57,48
18,98,98,71
7,91,45,45
12,81,51,46
4,83,63,54
5,80,44,39
